Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Name,Wochentag,Wochentag_Nummer,Monat,Quartal,Ist_Wochenende,Ist_Feiertag,Temperatur_Kategorie,Feiertagsnaehe,Umsatz_Trend_7_Tage
2013-07-22,1,131.223948997842,0.0,0.0,26.1,9.0,0.0,0,Monday,0,7,3,0,0,Warm,0,123.25298539231922
2013-07-23,1,110.315246796665,0.0,0.0,24.95,12.0,0.0,0,Tuesday,1,7,3,0,0,Warm,0,122.32354090981207
2013-07-24,1,141.891908195545,0.0,3.0,24.075,11.0,0.0,0,Wednesday,2,7,3,0,0,Warm,0,121.08339642448449
2013-07-25,1,167.701216640907,0.0,2.0,23.0875,9.0,0.0,0,Thursday,3,7,3,0,0,Warm,0,130.48346718795977
2013-07-26,1,147.272084366206,0.0,3.0,27.2625,6.0,0.0,0,Friday,4,7,3,0,0,Warm,0,128.43160564219778
2013-07-27,1,161.403357795112,0.0,1.0,26.1625,10.0,0.0,0,Saturday,5,7,3,1,0,Warm,0,132.29950294406748
2013-07-28,1,86.0791432446654,0.0,4.0,24.8875,13.0,61.0,0,Sunday,6,7,3,1,0,Warm,0,135.12670086242034
2013-07-29,1,183.564164400591,0.0,1.0,22.7875,10.0,0.0,0,Monday,0,7,3,0,0,Warm,0,142.6038744913845
2013-07-30,1,132.111640117897,0.0,5.0,21.075,13.0,21.0,0,Tuesday,1,7,3,0,0,Warm,0,145.7176449658462
2013-07-31,1,144.745431773143,0.0,5.0,20.275,16.0,65.0,0,Wednesday,2,7,3,0,0,Warm,0,146.12529119121734
2013-08-01,1,157.854023011106,0.0,6.0,23.4,7.0,21.0,0,Thursday,3,8,3,0,0,Warm,0,144.71854924410292
2013-08-02,1,117.359342094889,0.0,0.0,31.4375,7.0,0.0,0,Friday,4,8,3,0,0,Warm,0,140.44530034820048
2013-08-03,1,186.027178770079,0.0,4.0,23.3625,11.0,63.0,0,Saturday,5,8,3,1,0,Warm,0,143.96298905891007
2013-08-04,1,104.708216687715,0.0,3.0,23.05,8.0,0.0,0,Sunday,6,8,3,1,0,Warm,0,146.62428526506
2013-08-05,1,146.775309890073,0.0,0.0,25.8,10.0,0.0,0,Monday,0,8,3,0,0,Warm,0,141.36873462070028
2013-08-06,1,131.956277381283,0.0,5.0,22.225,13.0,0.0,0,Tuesday,1,8,3,0,0,Warm,0,141.34653994404113
2013-08-07,1,160.593417296116,0.0,4.0,19.2125,8.0,0.0,0,Wednesday,2,8,3,0,0,Mild,0,143.61053787589444
2013-08-08,1,153.099424561652,0.0,7.0,16.975,12.0,20.0,0,Thursday,3,8,3,0,0,Mild,0,142.9313095259724
2013-08-09,1,125.620344387906,0.0,4.0,20.3375,10.0,21.0,0,Friday,4,8,3,0,0,Warm,0,144.11145271068915
2013-08-10,1,185.177162656408,0.0,7.0,19.3625,12.0,61.0,0,Saturday,5,8,3,1,0,Mild,0,143.99002183730758
2013-08-11,1,73.2088330039992,0.0,7.0,16.3875,9.0,61.0,0,Sunday,6,8,3,1,0,Mild,0,139.49010988249103
2013-08-12,1,154.504729536697,0.0,7.0,16.45,11.0,63.0,0,Monday,0,8,3,0,0,Mild,0,140.59431268915162
2013-08-13,1,134.064451548102,0.0,3.0,16.4,16.0,95.0,0,Tuesday,1,8,3,0,0,Mild,0,140.8954804272686
2013-08-14,1,156.972510536869,0.0,4.0,18.2625,18.0,61.0,0,Wednesday,2,8,3,0,0,Mild,0,140.37820803309046
2013-08-15,1,164.763795399756,0.0,3.0,19.8,8.0,0.0,0,Thursday,3,8,3,0,0,Mild,0,142.04454672424816
2013-08-16,1,147.79799759804,0.0,4.0,23.575,11.0,0.0,0,Friday,4,8,3,0,0,Warm,0,145.21278289712447
2013-08-17,1,221.630418006017,0.0,6.0,20.55,7.0,0.0,0,Saturday,5,8,3,1,0,Warm,0,150.42039080421145
2013-08-18,1,92.489778506026,0.0,7.0,18.5875,10.0,63.0,0,Sunday,6,8,3,1,0,Mild,0,153.17481159021528
2013-08-19,1,145.87913275728,0.0,5.0,18.4875,8.0,0.0,0,Monday,0,8,3,0,0,Mild,0,151.94258347886998
2013-08-20,1,111.842396126739,0.0,7.0,17.775,8.0,61.0,0,Tuesday,1,8,3,0,0,Mild,0,148.768004132961
2013-08-21,1,125.336522713024,0.0,5.0,20.125,8.0,0.0,0,Wednesday,2,8,3,0,0,Warm,0,144.24857730098316
2013-08-22,1,132.916428220302,0.0,4.0,21.6625,8.0,0.0,0,Thursday,3,8,3,0,0,Warm,0,139.69895341820398
2013-08-23,1,162.958958703106,0.0,1.0,22.0375,14.0,0.0,0,Friday,4,8,3,0,0,Warm,0,141.86480500464202
2013-08-24,1,201.543109556297,0.0,0.0,20.85,16.0,5.0,0,Saturday,5,8,3,1,0,Warm,0,138.99518951182486
2013-08-25,1,83.0226725739551,0.0,0.0,21.3875,16.0,5.0,0,Sunday,6,8,3,1,0,Warm,0,137.6427458072433
2013-08-26,1,165.829031676714,0.0,0.0,20.125,15.0,5.0,0,Monday,0,8,3,0,0,Warm,0,140.49273136716243
2013-08-27,1,118.473650434102,0.0,1.0,21.0875,12.0,0.0,0,Tuesday,1,8,3,0,0,Warm,0,141.44005341107143
2013-08-28,1,108.876991442649,0.0,0.0,21.3,7.0,0.0,0,Wednesday,2,8,3,0,0,Warm,0,139.08869180101786
2013-08-29,1,178.178023803315,0.0,3.0,20.2125,11.0,0.0,0,Thursday,3,8,3,0,0,Warm,0,145.5546340271626
2013-08-30,1,133.150828452892,0.0,6.0,19.7875,8.0,5.0,0,Friday,4,8,3,0,0,Mild,0,141.29632970570344
2013-08-31,1,130.821314898435,0.0,5.0,18.35,16.0,21.0,0,Saturday,5,8,3,1,0,Mild,0,131.19321618315172
2013-09-01,1,95.9704314892471,0.0,7.0,15.8625,16.0,61.0,0,Sunday,6,9,3,1,0,Mild,0,133.04289602819344
2013-09-02,1,138.408723210465,0.0,7.0,16.575,17.0,63.0,0,Monday,0,9,3,0,0,Mild,0,129.1257091044436
2013-09-03,1,138.825618927843,0.0,7.0,18.225,11.0,21.0,0,Tuesday,1,9,3,0,0,Mild,0,132.03313317497802
2013-09-04,1,100.221969526295,0.0,7.0,18.125,5.0,0.0,0,Wednesday,2,9,3,0,0,Mild,0,130.79670147264173
2013-09-05,1,173.658100347255,0.0,0.0,21.7,8.0,0.0,0,Thursday,3,9,3,0,0,Warm,0,130.150998121776
2013-09-06,1,171.415179710314,0.0,0.0,24.7,9.0,0.0,0,Friday,4,9,3,0,0,Warm,0,135.61733401569344
2013-09-07,1,186.034060963767,0.0,6.0,22.7625,7.0,0.0,0,Saturday,5,9,3,1,0,Warm,0,143.50486916788373
2013-09-08,1,88.8925958109828,0.0,7.0,20.1625,8.0,61.0,0,Sunday,6,9,3,1,0,Warm,0,142.49374978527453
2013-09-09,1,169.359968504942,0.0,8.0,11.575,11.0,63.0,0,Monday,0,9,3,0,0,Mild,0,146.9153562559141
2013-09-10,1,89.6944536084346,0.0,6.0,13.5875,11.0,65.0,0,Tuesday,1,9,3,0,0,Mild,0,139.8966183531415
2013-09-11,1,103.363686559795,0.0,6.0,13.9,8.0,61.0,0,Wednesday,2,9,3,0,0,Mild,0,140.34543507221292
2013-09-12,1,106.474399987548,0.0,6.0,16.1125,6.0,61.0,0,Thursday,3,9,3,0,0,Mild,0,130.74776359225476
2013-09-13,1,122.564626199915,0.0,6.0,17.4375,5.0,21.0,0,Friday,4,9,3,0,0,Mild,0,123.7691130907692
2013-09-14,1,174.938807466572,0.0,5.0,17.625,10.0,63.0,0,Saturday,5,9,3,1,0,Mild,0,122.1840768768842
2013-09-15,1,55.1960062296304,0.0,7.0,14.8625,10.0,21.0,0,Sunday,6,9,3,1,0,Mild,0,117.37027836526242
2013-09-16,1,146.760234890658,0.0,3.0,13.1375,13.0,21.0,0,Monday,0,9,3,0,0,Mild,0,114.14174499179327
2013-09-17,1,136.118044538363,0.0,5.0,13.1375,10.0,63.0,0,Tuesday,1,9,3,0,0,Mild,0,120.77368655321163
2013-09-18,1,152.255085210606,0.0,4.0,13.05,9.0,0.0,0,Wednesday,2,9,3,0,0,Mild,0,127.75817207475606
2013-09-19,1,148.674992078993,0.0,5.0,14.8375,11.0,63.0,0,Thursday,3,9,3,0,0,Mild,0,133.78682808781963
2013-09-20,1,110.159250328825,0.0,7.0,13.525,6.0,0.0,0,Friday,4,9,3,0,0,Mild,0,132.01463153480677
2013-09-21,1,178.263887943827,0.0,7.0,15.35,9.0,0.0,0,Saturday,5,9,3,1,0,Mild,0,132.4896430315575
2013-09-22,1,86.6668973821597,0.0,6.0,17.1375,14.0,21.0,0,Sunday,6,9,3,1,0,Mild,0,136.98548462477595
2013-09-23,1,111.128410563554,0.0,7.0,17.3125,14.0,21.0,0,Monday,0,9,3,0,0,Mild,0,131.89522400661824
2013-09-24,1,139.64144576808,0.0,8.0,15.7375,10.0,0.0,0,Tuesday,1,9,3,0,0,Mild,0,132.39856703943497
2013-09-25,1,117.94119333604,0.0,6.0,13.5375,7.0,61.0,0,Wednesday,2,9,3,0,0,Mild,0,127.49658248592553
2013-09-26,1,203.314345156607,0.0,1.0,12.9875,12.0,0.0,0,Thursday,3,9,3,0,0,Mild,0,135.30220435415612
2013-09-27,1,135.507291692088,0.0,5.0,13.0125,8.0,21.0,0,Friday,4,9,3,0,0,Mild,0,138.92335312033654
2013-09-28,1,134.613756840197,0.0,0.0,13.1,8.0,0.0,0,Saturday,5,9,3,1,0,Mild,0,132.68762010553226
2013-09-29,1,68.6316896995448,0.0,3.0,14.175,12.0,0.0,0,Sunday,6,9,3,1,0,Mild,0,130.1111618651587
2013-09-30,1,156.502435955326,0.0,1.0,12.825,14.0,0.0,0,Monday,0,9,3,0,0,Mild,0,136.59316549255468
2013-10-01,1,123.397540137977,0.0,0.0,12.9125,13.0,5.0,0,Tuesday,1,10,4,0,0,Mild,0,134.2726075453971
2013-10-02,1,196.720969158391,0.0,1.0,12.7,10.0,0.0,0,Wednesday,2,10,4,0,0,Mild,0,145.5268612343044
2013-10-03,1,75.2337302417469,0.0,0.0,11.7625,12.0,5.0,0,Thursday,3,10,4,0,0,Mild,0,127.22963053218152
2013-10-04,1,156.066122625816,0.0,5.0,11.2,8.0,63.0,0,Friday,4,10,4,0,0,Mild,0,130.16660637985697
2013-10-05,1,152.280762053885,0.0,7.0,15.575,8.0,20.0,0,Saturday,5,10,4,1,0,Mild,0,132.69046426752666
2013-10-06,1,92.4805772695364,0.0,7.0,15.25,6.0,0.0,0,Sunday,6,10,4,1,0,Mild,0,136.09744820609689
2013-10-07,1,124.841544023845,0.0,1.0,16.275,7.0,0.0,0,Monday,0,10,4,0,0,Mild,0,131.57446364445676
2013-10-08,1,96.867100978839,0.0,6.0,15.1125,8.0,61.0,0,Tuesday,1,10,4,0,0,Mild,0,127.78440090743705
2013-10-09,1,149.761758936995,0.0,7.0,14.3125,10.0,21.0,0,Wednesday,2,10,4,0,0,Mild,0,121.07594230438049
2013-10-10,1,119.300284972145,0.0,5.0,10.975,6.0,0.0,0,Thursday,3,10,4,0,0,Mild,0,127.37116440872306
2013-10-11,1,123.2348187168,0.0,7.0,13.8625,20.0,10.0,0,Friday,4,10,4,0,0,Mild,0,122.6809781360065
2013-10-12,1,140.262421715801,0.0,8.0,13.025,21.0,63.0,0,Saturday,5,10,4,1,0,Mild,0,120.96407237342305
2013-10-13,1,42.9967926268111,0.0,5.0,10.8625,5.0,0.0,0,Sunday,6,10,4,1,0,Mild,0,113.89496028160515
2013-10-14,1,109.863744271226,0.0,2.0,12.525,6.0,0.0,0,Monday,0,10,4,0,0,Mild,0,111.75527460265958
2013-10-15,1,130.431802598324,0.0,7.0,10.6625,4.0,63.0,0,Tuesday,1,10,4,0,0,Mild,0,116.55023197687171
2013-10-16,1,146.070583461057,0.0,8.0,12.275,7.0,0.0,0,Wednesday,2,10,4,0,0,Mild,0,116.02292119459487
2013-10-17,1,89.9411837855476,0.0,7.0,12.0,15.0,65.0,0,Thursday,3,10,4,0,0,Mild,0,111.82876388222381
2013-10-18,1,111.233698203856,0.0,1.0,9.075,9.0,0.0,0,Friday,4,10,4,0,0,Kalt,0,110.11431809466038
2013-10-19,1,121.590860465012,0.0,7.0,9.45,9.0,0.0,0,Saturday,5,10,4,1,0,Kalt,0,107.44695220169054
2013-10-20,1,70.1419855298474,0.0,7.0,15.1875,8.0,21.0,0,Sunday,6,10,4,1,0,Mild,0,111.32483690212428
2013-10-21,1,122.987868193302,0.0,7.0,14.2625,8.0,61.0,0,Monday,0,10,4,0,0,Mild,0,113.19971174813513
2013-10-22,1,111.927088663048,0.0,2.0,17.6375,7.0,0.0,0,Tuesday,1,10,4,0,0,Mild,0,110.55618118595285
2013-10-23,1,125.816016210178,0.0,6.0,17.675,9.0,0.0,0,Wednesday,2,10,4,0,0,Mild,0,107.66267157868442
2013-10-24,1,123.163406361057,0.0,5.0,12.6875,12.0,61.0,0,Thursday,3,10,4,0,0,Mild,0,112.40870337518577
2013-10-25,1,113.661858634409,0.0,7.0,11.8875,7.0,61.0,0,Friday,4,10,4,0,0,Mild,0,112.75558343669333
2013-10-26,1,161.678805315967,0.0,5.0,16.775,10.0,21.0,0,Saturday,5,10,4,1,0,Mild,0,118.48243270111548
2013-10-27,1,102.355195816072,0.0,6.0,14.9875,16.0,65.0,0,Sunday,6,10,4,1,0,Mild,0,123.08431988486187
2013-10-28,1,129.482192717092,0.0,7.0,14.3625,29.0,63.0,0,Monday,0,10,4,0,0,Mild,0,124.01208053111759
2013-10-29,1,112.285893935052,0.0,7.0,10.775,17.0,63.0,0,Tuesday,1,10,4,0,0,Mild,0,124.06333842711815
2013-10-30,1,121.506077008915,0.0,6.0,10.4375,10.0,61.0,0,Wednesday,2,10,4,0,0,Mild,0,123.44763282693772
2013-10-31,1,133.723541287582,0.0,5.0,11.1625,13.0,21.0,0,Thursday,3,10,4,0,0,Mild,0,124.956223530727
2013-11-01,1,100.182160485504,0.0,8.0,10.625,9.0,63.0,0,Friday,4,11,4,0,0,Mild,0,123.03055236659772
2013-11-02,1,149.172348030766,0.0,8.0,8.8875,3.0,63.0,0,Saturday,5,11,4,1,0,Kalt,0,121.24391561156901
2013-11-03,1,97.4532740046654,0.0,6.0,10.7,15.0,21.0,0,Sunday,6,11,4,1,0,Mild,0,120.54364106708235
2013-11-04,1,137.864260444157,0.0,7.0,6.8375,7.0,63.0,0,Monday,0,11,4,0,0,Kalt,0,121.74107931380591
2013-11-05,1,103.700267261952,0.0,4.0,8.9,12.0,61.0,0,Tuesday,1,11,4,0,0,Kalt,0,120.51456121764876
2013-11-06,1,109.097001107423,0.0,4.0,8.1375,12.0,63.0,0,Wednesday,2,11,4,0,0,Kalt,0,118.74183608886419
2013-11-07,1,118.470603286455,0.0,6.0,9.5,10.0,61.0,0,Thursday,3,11,4,0,0,Kalt,0,116.56284494584607
2013-11-08,1,132.796244239256,0.0,3.0,9.325,9.0,0.0,0,Friday,4,11,4,0,0,Kalt,0,121.22199976781063
2013-11-09,1,99.9317959514759,0.0,5.0,7.7,16.0,63.0,0,Saturday,5,11,4,1,0,Kalt,0,114.1876351850549
2013-11-10,1,108.561660295105,0.0,2.0,6.9875,12.0,63.0,0,Sunday,6,11,4,1,0,Kalt,0,115.77454751226055
2013-11-11,1,124.580485617569,0.0,2.0,8.3125,5.0,0.0,0,Monday,0,11,4,0,0,Kalt,0,113.87686539417656
2013-11-12,1,111.970870543294,0.0,7.0,5.9375,9.0,61.0,0,Tuesday,1,11,4,0,0,Kalt,0,115.058380148654
2013-11-13,1,78.0382483442215,0.0,1.0,8.8,12.0,0.0,0,Wednesday,2,11,4,0,0,Kalt,0,110.62141546819662
2013-11-14,1,121.180219705286,0.0,5.0,6.9375,9.0,21.0,0,Thursday,3,11,4,0,0,Kalt,0,111.00850352802964
2013-11-15,1,122.76929773359,0.0,7.0,6.45,6.0,21.0,0,Friday,4,11,4,0,0,Kalt,0,109.57608259864877
2013-11-16,1,126.793397398979,0.0,8.0,8.875,12.0,0.0,0,Saturday,5,11,4,1,0,Kalt,0,113.41345423400637
2013-11-17,1,74.3945185864517,0.0,2.0,8.8875,8.0,0.0,0,Sunday,6,11,4,1,0,Kalt,0,108.53243398991303
2013-11-18,1,129.109032642028,0.0,7.0,6.65,5.0,63.0,0,Monday,0,11,4,0,0,Kalt,0,109.17936927912146
2013-11-19,1,106.906118646237,0.0,8.0,5.8375,8.0,61.0,0,Tuesday,1,11,4,0,0,Kalt,0,108.4558332938276
2013-11-20,1,124.324612351715,0.0,6.0,3.85,6.0,0.0,0,Wednesday,2,11,4,0,0,Kalt,0,115.06817100918383
2013-11-21,1,144.359927455555,0.0,2.0,3.275,8.0,10.0,0,Thursday,3,11,4,0,0,Kalt,0,118.37955783065081
2013-11-22,1,107.962731413831,0.0,7.0,5.375,10.0,21.0,0,Friday,4,11,4,0,0,Kalt,0,116.26433407068524
2013-11-23,1,96.5196766761341,0.0,3.0,4.9125,6.0,0.0,0,Saturday,5,11,4,1,0,Kalt,0,111.93951682456454
2013-11-24,1,76.4120061231823,0.0,0.0,4.6,16.0,0.0,0,Sunday,6,11,4,1,0,Kalt,0,112.22772932981177
2013-11-25,1,129.81992805086,0.0,0.0,3.7,10.0,0.0,0,Monday,0,11,4,0,0,Kalt,0,112.32928581678777
2013-11-26,1,123.431703158233,0.0,2.0,2.3125,6.0,0.0,0,Tuesday,1,11,4,0,0,Kalt,0,114.69008360421579
2013-11-27,1,93.5321454303922,0.0,8.0,7.3125,12.0,61.0,0,Wednesday,2,11,4,0,0,Kalt,0,110.2911597583125
2013-11-28,1,128.842426194061,0.0,2.0,8.025,18.0,0.0,0,Thursday,3,11,4,0,0,Kalt,0,108.07437386381336
2013-11-29,1,104.966463375073,0.0,8.0,5.9875,11.0,63.0,0,Friday,4,11,4,0,0,Kalt,0,107.64633557256222
2013-11-30,1,104.09003869481,0.0,7.0,5.525,10.0,20.0,0,Saturday,5,11,4,1,0,Kalt,0,108.7278158609445
2013-12-01,1,68.0762231823542,0.0,5.0,8.6625,20.0,61.0,0,Sunday,6,12,4,1,0,Kalt,0,107.53698972654048
2013-12-02,1,113.931498716313,0.0,0.0,3.0625,4.0,10.0,0,Monday,0,12,4,0,0,Kalt,0,105.2672141073195
2013-12-03,1,94.7658652080226,0.0,8.0,1.7125,6.0,28.0,0,Tuesday,1,12,4,0,0,Kalt,0,101.17209440014658
2013-12-04,1,128.922855106228,0.0,7.0,5.85,11.0,63.0,0,Wednesday,2,12,4,0,0,Kalt,0,106.22791006812312
2013-12-05,1,120.974699669869,0.0,7.0,4.4625,24.0,63.0,0,Thursday,3,12,4,0,0,Kalt,0,105.1039491360957
2013-12-06,1,112.015650593347,0.0,6.0,1.7875,25.0,73.0,0,Friday,4,12,4,0,0,Kalt,0,106.11097588156339
2013-12-07,1,121.408564819885,0.0,5.0,1.0,11.0,22.0,0,Saturday,5,12,4,1,0,Kalt,0,108.58505104228841
2013-12-08,1,36.2650169585334,0.0,8.0,6.975,16.0,63.0,0,Sunday,6,12,4,1,0,Kalt,0,104.040593010314
2013-12-09,1,134.680550018524,0.0,7.0,9.2375,10.0,45.0,0,Monday,0,12,4,0,0,Kalt,0,107.00474319634415
2013-12-10,1,104.352034970751,0.0,7.0,7.1875,8.0,61.0,0,Tuesday,1,12,4,0,0,Kalt,0,108.37419601959107
2013-12-11,1,85.9079819233536,0.0,7.0,5.025,9.0,10.0,0,Wednesday,2,12,4,0,0,Kalt,0,102.2292141363233
2013-12-12,1,88.2075449690532,0.0,8.0,2.525,8.0,28.0,0,Thursday,3,12,4,0,0,Kalt,0,97.54819203620676
2013-12-13,1,85.5324935340658,0.0,7.0,3.5375,6.0,61.0,0,Friday,4,12,4,0,0,Kalt,0,93.76488388488087
2013-12-14,1,120.787742012371,0.0,7.0,3.0125,7.0,61.0,0,Saturday,5,12,4,1,0,Kalt,0,93.67619491237886
2013-12-15,1,71.5352172710921,0.0,8.0,7.925,12.0,61.0,0,Sunday,6,12,4,1,0,Kalt,0,98.71479495703011
2013-12-16,1,120.791211521354,0.0,8.0,8.775,12.0,0.0,0,Monday,0,12,4,0,0,Kalt,0,96.73060374314868
2013-12-17,1,74.6283250889016,0.0,8.0,4.95,8.0,61.0,0,Tuesday,1,12,4,0,0,Kalt,0,92.48435947431304
2013-12-18,1,86.4115250991858,0.0,7.0,6.85,8.0,10.0,0,Wednesday,2,12,4,0,0,Kalt,0,92.55629421371763
2013-12-19,1,101.589644453608,0.0,7.0,7.4,10.0,63.0,0,Thursday,3,12,4,0,0,Kalt,0,94.46802271151118
2013-12-20,1,114.601001275823,0.0,7.0,5.2875,10.0,61.0,0,Friday,4,12,4,0,0,Kalt,0,98.62066667461936
2013-12-21,1,124.541759682586,0.0,8.0,6.5625,13.0,63.0,0,Saturday,5,12,4,1,0,Kalt,0,99.1569549132215
2013-12-22,1,41.7300439888931,0.0,7.0,8.1375,12.0,61.0,0,Sunday,6,12,4,1,0,Kalt,0,94.89907301576451
2013-12-23,1,183.608991270752,0.0,3.0,5.4875,10.0,0.0,0,Monday,0,12,4,0,0,Kalt,0,103.87304155139279
2013-12-24,1,220.330670230618,0.0,7.0,11.4375,18.0,61.0,0,Tuesday,1,12,4,0,0,Mild,0,124.6876622859237
2013-12-27,1,152.367434643543,0.0,7.0,5.7625,15.0,63.0,0,Friday,4,12,4,0,0,Kalt,0,134.10993507797474
2013-12-29,1,131.267289010755,0.0,7.0,5.7125,9.0,63.0,0,Sunday,6,12,4,1,0,Kalt,0,138.3495985861386
2013-12-30,1,126.58984459848,0.0,4.0,4.75,11.0,10.0,0,Monday,0,12,4,0,0,Kalt,0,140.0622904893753
2013-12-31,1,211.390838466052,0.0,4.0,5.0375,7.0,0.0,0,Tuesday,1,12,4,0,0,Kalt,0,152.46930174415616
2014-01-02,1,153.166492227541,0.0,7.0,6.25,9.0,63.0,0,Thursday,3,1,1,0,0,Kalt,0,168.38879434967728
2014-01-03,1,109.484763536521,0.0,7.0,6.8375,10.0,63.0,0,Friday,4,1,1,0,0,Kalt,0,157.79961895907286
2014-01-04,1,116.250540066432,0.0,5.0,6.9375,11.0,0.0,0,Saturday,5,1,1,1,0,Kalt,0,142.93102893561772
2014-01-05,1,67.7899909491401,0.0,7.0,6.1875,11.0,63.0,0,Sunday,6,1,1,1,0,Kalt,0,130.84853697927446
2014-01-06,1,146.911067784297,0.0,7.0,7.9125,11.0,65.0,0,Monday,0,1,1,0,0,Kalt,0,133.08336251835186
2014-01-07,1,147.5457609484,0.0,7.0,10.4375,13.0,0.0,0,Tuesday,1,1,1,0,0,Mild,0,136.07706485405473
2014-01-08,1,99.9068767897401,0.0,7.0,8.6375,15.0,63.0,0,Wednesday,2,1,1,0,0,Kalt,0,120.15078461458161
2014-01-09,1,113.541525918277,0.0,7.0,9.6125,16.0,61.0,0,Thursday,3,1,1,0,0,Kalt,0,114.49007514182959
2014-01-10,1,119.05554059635,0.0,7.0,6.6375,17.0,61.0,0,Friday,4,1,1,0,0,Kalt,0,115.85732900751945
2014-01-11,1,127.95986526115,0.0,7.0,5.5875,18.0,63.0,0,Saturday,5,1,1,1,0,Kalt,0,117.53008974962202
2014-01-12,1,83.4017498521773,0.0,2.0,5.525,16.0,21.0,0,Sunday,6,1,1,1,0,Kalt,0,119.76034102148448
2014-01-13,1,103.994034974792,0.0,8.0,3.1375,10.0,69.0,0,Monday,0,1,1,0,0,Kalt,0,113.62933633441233
2014-01-14,1,166.347532764571,0.0,6.0,4.225,6.0,28.0,0,Tuesday,1,1,1,0,0,Kalt,0,116.31530373672248
2014-01-15,1,139.042567223334,0.0,7.0,3.228571,7.0,28.0,0,Wednesday,2,1,1,0,0,Kalt,0,121.90611665580732
2014-01-16,1,117.779119691395,0.0,8.0,2.7375,9.0,63.0,0,Thursday,3,1,1,0,0,Kalt,0,122.5114871948242
2014-01-17,1,94.7938386484339,0.0,7.0,6.7375,4.0,61.0,0,Friday,4,1,1,0,0,Kalt,0,119.0455297736933
2014-01-18,1,102.633649837911,0.0,7.0,5.8875,8.0,61.0,0,Saturday,5,1,1,1,0,Kalt,0,115.42749899894488
2014-01-19,1,53.0014671833047,0.0,7.0,2.8625,19.0,10.0,0,Sunday,6,1,1,1,0,Kalt,0,111.08460147482023
2014-01-20,1,99.6819363621683,0.0,8.0,0.3875,13.0,61.0,0,Monday,0,1,1,0,0,Kalt,0,110.46858738730255
2014-01-21,1,116.784600007305,0.0,7.0,-0.65,7.0,77.0,0,Tuesday,1,1,1,0,0,Kalt,0,103.38816842197885
